,Accuracy,Algorithms
140,0.9835,SVM
141,0.985,SVM
142,0.9844999999999999,SVM
143,0.9870000000000001,SVM
144,0.9839999999999998,SVM
145,0.982,SVM
146,0.9825000000000002,SVM
147,0.9850000000000001,SVM
148,0.983,SVM
149,0.986,SVM
150,0.9964999999999999,Neural_Network
151,0.9969999999999999,Neural_Network
152,0.9964999999999999,Neural_Network
153,0.9964999999999999,Neural_Network
154,0.9970000000000001,Neural_Network
155,0.9975000000000002,Neural_Network
156,0.9960000000000001,Neural_Network
157,0.9970000000000001,Neural_Network
158,0.9959999999999999,Neural_Network
159,0.9970000000000001,Neural_Network
160,0.9975000000000002,Neural_Network
161,0.9964999999999999,Neural_Network
162,0.9969999999999999,Neural_Network
163,0.9969999999999999,Neural_Network
164,0.9964999999999999,Neural_Network
165,0.9984999999999999,Neural_Network
166,0.9964999999999999,Neural_Network
167,0.9970000000000001,Neural_Network
168,0.9969999999999999,Neural_Network
169,0.9969999999999999,Neural_Network
170,0.9970000000000001,Neural_Network
171,0.9959999999999999,Neural_Network
172,0.9974999999999999,Neural_Network
173,0.9969999999999999,Neural_Network
174,0.9959999999999999,Neural_Network
175,0.9964999999999999,Neural_Network
176,0.9964999999999999,Neural_Network
177,0.9970000000000001,Neural_Network
178,0.9964999999999999,Neural_Network
179,0.9970000000000001,Neural_Network
